arm,categories,neuron,alpha,n_tokens,n_fire_neuron,units_excluded_min_fire,untrained,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s,formula,formula_cov,n_and,n_or,n_not,or_categories,max_same_cat_or,n_fires,n_inter
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.1,24199,2201,0,False,0.09095,3,none,2.711,0.738,14,209,no,98,188,880,0.1816,0.08,((const=NP AND (NOT const=PP)) AND (NOT tag=DT)),0.2386,2,0,2,,0,5775,1226
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.1,24199,2420,0,False,0.1,3,none,2.711,0.738,14,379,no,164,197,934,0.1412,0.13,((const=PP AND (NOT dep=det)) AND (NOT tag=IN)),0.2156,2,0,2,,0,5217,945
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.1,24199,2310,0,False,0.09546,3,none,2.711,0.738,14,455,no,480,238,1098,0.1261,0.49,(const=PP AND (NOT tag=IN)),0.2923,1,0,1,,0,7074,1051
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.1,24199,632,0,False,0.02612,3,none,2.711,0.738,14,150,no,59,150,732,0.0952,0.06,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),0.077,2,0,2,,0,1864,217
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.1,24199,2419,0,False,0.09996,3,none,2.711,0.738,14,601,no,430,231,1081,0.1244,0.46,((const=VP OR const=PP) AND dep=det),0.1003,1,1,0,const+const,2,2427,536
