arm,categories,neuron,alpha,n_tokens,n_fire_neuron,units_excluded_min_fire,untrained,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s,formula,formula_cov,n_and,n_or,n_not,or_categories,max_same_cat_or,n_fires,n_inter
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.1,24199,2201,0,False,0.09095,5,none,2.711,0.738,14,18847,no,15741,17214,57566,0.1827,703.88,((((const=NP AND (NOT tag=DT)) AND (NOT tag=IN)) OR tag=NN) AND (NOT const=PP)),0.2442,3,1,3,tag,1,5910,1253
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.1,24199,2420,0,False,0.1,5,none,2.711,0.738,14,20927,no,19386,18289,60646,0.1425,1048.43,((((tag=NN AND (NOT const=NP)) OR const=PP) AND (NOT dep=det)) AND (NOT tag=IN)),0.2229,3,1,3,const,1,5395,975
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.1,24199,2310,0,False,0.09546,5,none,2.711,0.738,14,31878,time,-1,-1,-1,,1516.36,,,,,,,,,
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.1,24199,632,0,False,0.02612,5,none,2.711,0.738,14,12122,no,9302,12921,45342,0.0962,456.85,(((const=NP AND tag=NN) AND (NOT const=VP)) AND (NOT const=PP)),0.0752,3,0,2,,0,1819,215
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.1,24199,2419,0,False,0.09996,5,none,2.711,0.738,14,31797,time,-1,-1,-1,,2095.68,,,,,,,,,
