K,length,p_add,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s
15,3,0.0,1.0,0.0,210,65,no,2,9,118,0.7702,0.02
15,3,1.0,2.863,1.0,0,724,no,312,504,5477,0.4194,1.69
15,4,0.0,1.0,0.0,210,103,no,2,23,244,0.7702,0.04
15,4,1.0,2.863,1.0,0,22458,time,-1,-1,-1,,32.99
30,3,0.0,1.0,0.0,870,83,no,2,9,253,0.6389,0.03
30,3,1.0,2.93,1.0,0,4158,no,459,1842,42676,0.3583,6.87
30,4,0.0,1.0,0.0,870,227,no,2,239,4513,0.6389,0.56
30,4,1.0,2.93,1.0,0,167497,time,-1,-1,-1,,30.21
50,3,0.0,1.0,0.0,2450,101,no,2,24,799,0.5236,0.08
50,3,1.0,2.951,1.0,72,10014,no,552,4776,193094,0.3323,26.84
50,4,0.0,1.0,0.0,2450,278,no,2,293,9383,0.5236,1.03
50,4,1.0,2.951,1.0,72,200001,cap,-1,-1,-1,,27.37
