K,M,active_tokens,common_frac,coverage,disjoint_frac,disjoint_pairs,distinct_pairs,max_overlap,max_sents,mean_overlap,n_tokens,pairs_over_min_support,unique_frac_active,unique_frac_all,unique_tokens,uniqtok_const,uniqtok_dep,uniqtok_tag,support_const,support_dep,support_ent,support_lemma,support_synset,support_tag
15,2547,2477,0.814,0.973,0.524,110,776,7,200,3.178,2547,264,0.186,0.181,461,279,171,11,8,24,4,110,95,23
15,24199,23649,0.858,0.977,0.514,108,3109,7,2000,3.189,24199,1168,0.142,0.139,3369,3078,259,32,12,37,11,553,524,31
