arm,categories,neuron,alpha,n_tokens,n_fire_neuron,units_excluded_min_fire,untrained,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s,formula,formula_cov,n_and,n_or,n_not,or_categories,max_same_cat_or,n_fires,n_inter,arm_label,precision,lift,normalised_fit,iou_indep,iou_over_d,timed_out,anchored,phase
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.5,24199,12097,0,False,0.4999,4,200,3.189,0.858,108,254,no,212,620,6405,0.5041,0.66,(NOT tag=IN),0.8739,0,0,1,,0,21147,11243,trained,0.5317,1.0635,0.0635,0.4663,1.0084,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.5,24199,12098,0,False,0.49994,4,200,3.189,0.858,108,254,no,239,602,6293,0.5061,0.77,(NOT dep=pobj),0.8793,0,0,1,,0,21277,11298,trained,0.531,1.0621,0.0621,0.4678,1.0123,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.5,24199,12047,0,False,0.49783,4,200,3.189,0.858,108,254,no,164,593,6033,0.4739,0.63,(((dep=punct OR dep=ROOT) AND (NOT const=PP)) OR const=NP),0.8025,1,2,1,const+dep+dep,2,19420,10117,trained,0.521,1.0465,0.0461,0.4435,0.9519,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.05,24199,1208,0,True,0.04992,4,200,3.189,0.858,108,249,no,497,519,5586,0.0913,1.09,(((const=PP AND (NOT tag=IN)) OR dep=pobj) AND (NOT tag=DT)),0.2189,2,1,2,dep,1,5296,544,untrained,0.1027,2.0577,0.0556,0.0424,1.8289,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.05,24199,1210,0,True,0.05,4,200,3.189,0.858,108,247,no,468,469,5106,0.1176,1.26,(((const=PP AND dep=punct) OR tag=NN) AND (NOT const=VP)),0.1059,2,1,1,tag,1,2563,397,untrained,0.1549,3.0979,0.1104,0.0352,2.352,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.05,24199,1208,0,True,0.04992,4,200,3.189,0.858,108,251,no,550,495,5305,0.0712,1.33,(NOT const=NP),0.3339,0,0,1,,0,8079,592,untrained,0.0733,1.4679,0.0246,0.0454,1.4263,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.05,24199,1210,0,True,0.05,4,200,3.189,0.858,108,250,no,509,660,6815,0.086,1.54,(const=VP AND (NOT const=NP)),0.2286,1,0,1,,0,5533,534,untrained,0.0965,1.9302,0.049,0.0428,1.72,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.05,24199,1141,0,True,0.04715,4,200,3.189,0.858,108,247,no,478,502,5335,0.0684,1.1,(((const=NP AND tag=NN) OR dep=pobj) AND const=PP),0.1399,2,1,0,dep,1,3386,290,untrained,0.0856,1.8165,0.0404,0.0366,1.4507,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.1,24199,2420,0,True,0.1,4,200,3.189,0.858,108,250,no,508,536,5611,0.1381,1.17,(((const=PP AND (NOT dep=prep)) OR dep=ROOT) AND (NOT tag=DT)),0.2944,2,1,2,dep,1,7124,1158,untrained,0.1625,1.6255,0.0695,0.0807,1.381,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.1,24199,2419,0,True,0.09996,4,200,3.189,0.858,108,247,no,251,540,5692,0.1941,0.83,(((const=NP AND tag=NN) AND (NOT const=VP)) OR dep=punct),0.1904,2,1,1,dep,1,4608,1142,untrained,0.2478,2.4793,0.1643,0.0701,1.9418,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.1,24199,2420,0,True,0.1,4,200,3.189,0.858,108,251,no,151,526,5201,0.1409,0.75,(((dep=det OR dep=nsubj) AND tag=NN) OR lemma=.),0.1245,1,2,0,dep+dep+lemma,2,3012,671,untrained,0.2228,2.2278,0.1364,0.0587,1.409,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.1,24199,2419,0,True,0.09996,4,200,3.189,0.858,108,250,no,598,517,5395,0.1228,1.29,(((const=PP AND (NOT lemma=a)) OR tag=IN) AND (NOT tag=NN)),0.2589,2,1,2,tag,1,6266,950,untrained,0.1516,1.5167,0.0574,0.0777,1.2285,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.1,24199,2420,0,True,0.1,4,200,3.189,0.858,108,247,no,277,575,5771,0.1555,0.83,(((const=NP AND dep=pobj) AND (NOT const=VP)) OR lemma=.),0.1024,2,1,1,lemma,1,2477,659,untrained,0.266,2.6605,0.1845,0.0533,1.555,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.2,24199,4839,0,True,0.19997,4,200,3.189,0.858,108,251,no,179,602,6109,0.2256,0.83,(((const=VP AND tag=NN) OR const=NP) AND (NOT lemma=a)),0.5637,2,1,1,const,1,13641,3402,untrained,0.2494,1.2472,0.0618,0.1732,1.1282,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.2,24199,4838,0,True,0.19993,4,200,3.189,0.858,108,255,no,249,599,5918,0.2721,0.96,((lemma=a OR dep=punct) AND (NOT const=VP)),0.142,1,1,1,dep+lemma,1,3436,1770,untrained,0.5151,2.5766,0.394,0.0905,1.361,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.2,24199,4840,0,True,0.20001,4,200,3.189,0.858,108,255,no,129,598,5778,0.248,0.75,(((const=NP AND lemma=a) OR dep=nsubj) OR lemma=.),0.2627,1,2,0,dep+lemma,1,6356,2225,untrained,0.3501,1.7502,0.1876,0.1281,1.2399,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.2,24199,4839,0,True,0.19997,4,200,3.189,0.858,108,250,no,148,580,5818,0.2225,0.72,(NOT lemma=a),0.8884,0,0,1,,0,21498,4839,untrained,0.2251,1.1256,0.0314,0.1951,1.1127,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.2,24199,4840,0,True,0.20001,4,200,3.189,0.858,108,251,no,259,600,5900,0.2656,0.78,(((const=NP AND tag=NN) AND (NOT dep=nsubj)) OR lemma=.),0.2429,2,1,1,lemma,1,5878,2249,untrained,0.3826,1.913,0.2283,0.1232,1.3279,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.5,24199,12099,0,True,0.49998,4,200,3.189,0.858,108,254,no,326,603,6089,0.4911,0.85,(NOT dep=punct),0.9118,0,0,1,,0,22065,11335,untrained,0.5137,1.0275,0.0275,0.4769,0.9822,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.5,24199,12099,0,True,0.49998,4,200,3.189,0.858,108,255,no,192,617,6102,0.4742,0.82,(NOT dep=det),0.8323,0,0,1,,0,20141,10425,untrained,0.5176,1.0352,0.0352,0.4542,0.9484,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.5,24199,12097,0,True,0.4999,4,200,3.189,0.858,108,254,no,118,610,6105,0.4498,0.66,(((tag=IN OR lemma=.) AND (NOT const=PP)) OR const=NP),0.7377,1,2,1,const+lemma+tag,1,17852,9291,untrained,0.5204,1.0411,0.0411,0.4245,0.8998,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.5,24199,12097,0,True,0.4999,4,200,3.189,0.858,108,254,no,263,606,6210,0.4772,0.99,(NOT dep=nsubj),0.922,0,0,1,,0,22311,11251,untrained,0.5043,1.0088,0.0088,0.4796,0.9546,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.5,24199,12098,0,True,0.49994,4,200,3.189,0.858,108,254,no,199,604,6222,0.4912,0.7,(NOT dep=det),0.8323,0,0,1,,0,20141,10613,untrained,0.5269,1.054,0.054,0.4542,0.9825,no,no,A-beam
