arm,categories,neuron,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.64,4,none,3.178,0.814,110,20062,no,8267,6654,62135,0.6489,172.41
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.626,4,none,3.178,0.814,110,13456,no,5978,6711,62794,0.6154,98.77
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.623,4,none,3.178,0.814,110,17239,no,1440,6406,59328,0.6066,13.97
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.396,4,none,3.178,0.814,110,20222,time,-1,-1,-1,,300.96
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.552,4,none,3.178,0.814,110,18760,no,7079,7285,68189,0.563,145.63
