K,length,beam_cap,p_add,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s
15,4,-,1.0,2.863,1.0,0,22458,time,-1,-1,-1,,131.68
15,4,100,1.0,2.863,1.0,0,155,no,96,359,3063,0.3771,1.36
15,4,200,1.0,2.863,1.0,0,254,no,156,613,5409,0.3682,3.23
15,4,500,1.0,2.863,1.0,0,554,no,2035,1268,11812,0.4244,30.31
15,4,1000,1.0,2.863,1.0,0,1054,no,3797,1870,18874,0.4201,99.28
15,4,2000,1.0,2.863,1.0,0,2054,time,-1,-1,-1,,121.54
