arm,categories,neuron,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s
all categories (token regime),lemma+tag+dep+ent+synset+const,unit109,0.536,4,none,3.178,0.814,110,17724,no,5271,7206,67046,0.5304,86.55
all categories (token regime),lemma+tag+dep+ent+synset+const,unit115,0.529,4,none,3.178,0.814,110,14881,no,3905,7098,65998,0.5331,49.95
all categories (token regime),lemma+tag+dep+ent+synset+const,unit369,0.565,4,none,3.178,0.814,110,15491,no,4261,7096,66181,0.5913,56.26
all categories (token regime),lemma+tag+dep+ent+synset+const,unit389,0.494,4,none,3.178,0.814,110,19547,no,7105,7762,71908,0.5002,159.83
all categories (token regime),lemma+tag+dep+ent+synset+const,unit506,0.453,4,none,3.178,0.814,110,11614,no,5749,7487,68997,0.4643,89.83
