arm,alpha,unit,density_run,beam,algo,beam_IoU,exact_IoU,beam_cov,exact_cov,no_solution,same_mask,beam_visited,exact_visited,beam_expanded,exact_expanded,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
trained,0.1,unit92,0.1,5,beam_optimal,0.1593,0.1593,0.1938,0.1938,0,1,140,677,15,471,0.02,1.12,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,10,beam_optimal,0.1593,0.1593,0.1938,0.1938,0,1,228,677,23,471,0.03,1.12,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,25,beam_optimal,0.1593,0.1593,0.1938,0.1938,0,1,386,677,37,471,0.06,1.12,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,50,beam_optimal,0.1593,0.1593,0.1938,0.1938,0,1,594,677,59,471,0.09,1.12,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,100,beam_optimal,0.1593,0.1593,0.1938,0.1938,0,1,897,677,107,471,0.17,1.12,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,200,beam_optimal,0.1593,0.1593,0.1938,0.1938,0,1,1125,677,202,471,0.28,1.12,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit396,0.09546,5,beam_optimal,0.1453,0.1453,0.2468,0.2468,0,1,165,717,15,443,0.03,1.25,no,no,((const=PP AND (NOT lemma=a)) AND (NOT tag=IN)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,10,beam_optimal,0.1453,0.1453,0.2468,0.2468,0,1,281,717,22,443,0.04,1.25,no,no,((const=PP AND (NOT synset=angstrom.n.01)) AND (NOT tag=IN)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,25,beam_optimal,0.1453,0.1453,0.2468,0.2468,0,1,434,717,36,443,0.06,1.25,no,no,((const=PP AND (NOT synset=angstrom.n.01)) AND (NOT tag=IN)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,50,beam_optimal,0.1453,0.1453,0.2468,0.2468,0,1,568,717,60,443,0.1,1.25,no,no,((const=PP AND (NOT synset=angstrom.n.01)) AND (NOT tag=IN)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,100,beam_optimal,0.1453,0.1453,0.2468,0.2468,0,1,835,717,107,443,0.23,1.25,no,no,((const=PP AND (NOT synset=angstrom.n.01)) AND (NOT tag=IN)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,200,beam_optimal,0.1453,0.1453,0.2468,0.2468,0,1,989,717,200,443,0.26,1.25,no,no,((const=PP AND (NOT synset=angstrom.n.01)) AND (NOT tag=IN)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit413,0.02612,5,beam_optimal,0.0952,0.0952,0.077,0.077,0,1,65,340,15,319,0.02,0.41,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,10,beam_optimal,0.0952,0.0952,0.077,0.077,0,1,105,340,20,319,0.02,0.41,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,25,beam_optimal,0.0952,0.0952,0.077,0.077,0,1,208,340,34,319,0.04,0.41,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,50,beam_optimal,0.0952,0.0952,0.077,0.077,0,1,322,340,57,319,0.08,0.41,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,100,beam_optimal,0.0952,0.0952,0.077,0.077,0,1,541,340,106,319,0.15,0.41,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,200,beam_optimal,0.0952,0.0952,0.077,0.077,0,1,757,340,200,319,0.26,0.41,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit510,0.09996,5,beam_optimal,0.1477,0.1575,0.1996,0.1649,0,0,186,866,15,608,0.02,2.11,no,no,((dep=punct OR synset=angstrom.n.01) AND (NOT tag=IN)),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,10,beam_optimal,0.1477,0.1575,0.1996,0.1649,0,0,311,866,25,608,0.04,2.11,no,no,((dep=punct OR lemma=a) AND (NOT tag=IN)),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,25,beam_optimal,0.1575,0.1575,0.1649,0.1649,0,1,466,866,39,608,0.06,2.11,no,no,((tag=DT AND const=PP) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,50,beam_optimal,0.1575,0.1575,0.1649,0.1649,0,1,707,866,60,608,0.1,2.11,no,no,((tag=DT AND const=PP) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,100,beam_optimal,0.1575,0.1575,0.1649,0.1649,0,1,1107,866,107,608,0.18,2.11,no,no,((tag=DT AND const=PP) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,200,beam_optimal,0.1575,0.1575,0.1649,0.1649,0,1,1765,866,204,608,0.32,2.11,no,no,((tag=DT AND const=PP) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.05,unit86,0.03645,5,beam_optimal,0.2068,0.2068,0.0501,0.0501,0,1,43,203,15,319,0.02,0.27,no,no,((dep=nsubj AND tag=NN) AND const=NP),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,10,beam_optimal,0.2166,0.2068,0.061,0.0501,0,0,83,203,22,319,0.02,0.27,no,no,((dep=nsubj OR dep=ROOT) AND tag=NN),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,25,beam_optimal,0.2166,0.2068,0.061,0.0501,0,0,190,203,36,319,0.04,0.27,no,no,((dep=nsubj OR dep=ROOT) AND tag=NN),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,50,beam_optimal,0.2166,0.2068,0.061,0.0501,0,0,284,203,60,319,0.08,0.27,no,no,((dep=nsubj OR dep=ROOT) AND tag=NN),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,100,beam_optimal,0.2166,0.2068,0.061,0.0501,0,0,407,203,108,319,0.2,0.27,no,no,((dep=nsubj OR dep=ROOT) AND tag=NN),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,200,beam_optimal,0.2166,0.2068,0.061,0.0501,0,0,503,203,201,319,0.24,0.27,no,no,((dep=nsubj OR dep=ROOT) AND tag=NN),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit87,0.04996,5,beam_optimal,0.0715,0.0721,0.1327,0.1517,0,0,206,1795,15,713,0.03,5.78,no,no,((dep=punct OR dep=prep) AND (NOT const=NP)),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,10,beam_optimal,0.0715,0.0721,0.1327,0.1517,0,0,294,1795,24,713,0.04,5.78,no,no,((dep=punct OR dep=prep) AND (NOT const=NP)),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,25,beam_optimal,0.0715,0.0721,0.1327,0.1517,0,0,640,1795,38,713,0.07,5.78,no,no,((dep=punct OR dep=prep) AND (NOT const=NP)),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,50,beam_optimal,0.0715,0.0721,0.1327,0.1517,0,0,1075,1795,63,713,0.12,5.78,no,no,((dep=punct OR dep=prep) AND (NOT const=NP)),((dep=prep AND (NOT const=NP)) OR dep=punct)
