arm,alpha,unit,density_run,n_fire_neuron,beam_IoU,exact_IoU,beam_cov,exact_cov,beam_lift,exact_lift,rel_gain_lift_pct,rel_gain_iou_pct,cov_ratio_exact_over_beam,beam_precision,exact_precision,beam_recall,exact_recall,beam_n_fires,exact_n_fires,beam_n_inter,exact_n_inter,exact_nfit,beam_nfit,visited,expanded,peak_frontier,time_s,halted,exact_formula,beam_formula
untrained,0.2,unit92,0.19993,4838,0.28,0.28,0.149,0.149,2.5626,2.5626,0.0,0.0,1.0,0.5123,0.5123,0.3818,0.3818,3605.0,3605.0,1847.0,1847.0,0.3905,0.3905,291.0,503.0,1047.0,0.48,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit396,0.1,2420,0.1486,0.1486,0.1772,0.1772,2.0243,2.0243,0.0,0.0,1.0,0.2024,0.2024,0.3587,0.3587,4288.0,4288.0,868.0,868.0,0.1138,0.1138,519.0,578.0,1155.0,0.99,no,((tag=NN AND (NOT const=VP)) OR lemma=.),((tag=NN AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit413,0.09996,2419,0.1368,0.1444,0.5344,0.383,1.4288,1.5921,11.43,5.56,0.7167,0.1428,0.1591,0.7635,0.6098,12932.0,9268.0,1847.0,1475.0,0.0658,0.0476,817.0,502.0,1647.0,1.61,no,((const=VP AND (NOT tag=NN)) AND (NOT lemma=a)),((const=VP OR tag=DT) AND (NOT lemma=a))
untrained,0.1,unit510,0.1,2420,0.1544,0.1544,0.1036,0.1036,2.6286,2.6286,0.0,0.0,1.0,0.2629,0.2629,0.2723,0.2723,2507.0,2507.0,659.0,659.0,0.181,0.181,579.0,474.0,936.0,0.88,no,((dep=pobj AND (NOT const=VP)) OR lemma=.),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit88,0.1,2420,0.1353,0.1353,0.2118,0.2118,1.7541,1.7541,0.0,0.0,1.0,0.1754,0.1754,0.3715,0.3715,5125.0,5125.0,899.0,899.0,0.0838,0.0838,1127.0,477.0,1363.0,1.95,no,((const=PP AND (NOT tag=DT)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit92,0.09996,2419,0.1947,0.1947,0.1924,0.1924,2.4779,2.4779,0.0,0.0,1.0,0.2477,0.2477,0.4766,0.4766,4655.0,4655.0,1153.0,1153.0,0.1641,0.1641,334.0,423.0,614.0,0.45,no,((tag=NN AND (NOT const=VP)) OR dep=punct),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.05,unit396,0.04992,1208,0.0752,0.0755,0.1037,0.3017,2.075,1.6382,-21.05,0.4,2.9094,0.1036,0.0818,0.2152,0.4942,2510.0,7300.0,260.0,597.0,0.0335,0.0565,1162.0,682.0,1816.0,3.16,no,((const=VP AND (NOT const=NP)) OR lemma=.),((tag=IN AND (NOT const=VP)) OR lemma=.)
untrained,0.05,unit413,0.05,1210,0.0954,0.1038,0.0937,0.1627,2.672,2.4581,-8.01,8.81,1.7364,0.1336,0.1229,0.2504,0.4,2268.0,3938.0,303.0,484.0,0.0767,0.088,631.0,528.0,1463.0,1.24,no,((const=VP AND (NOT const=NP)) AND (NOT const=PP)),((tag=IN AND (NOT const=PP)) OR dep=ROOT)
untrained,0.05,unit510,0.04715,1141,0.0712,0.0734,0.1749,0.2074,1.7891,1.779,-0.56,3.09,1.1858,0.0844,0.0839,0.3129,0.369,4232.0,5019.0,357.0,421.0,0.0385,0.039,1178.0,565.0,1463.0,2.45,no,((tag=NN AND (NOT dep=nsubj)) OR dep=pobj),((const=VP AND tag=NN) OR dep=pobj)
untrained,0.05,unit88,0.04992,1208,0.0919,0.0919,0.2118,0.2118,2.0833,2.0833,0.0,0.0,1.0,0.104,0.104,0.4412,0.4412,5125.0,5125.0,533.0,533.0,0.0569,0.0569,663.0,432.0,877.0,1.07,no,((const=PP AND (NOT tag=DT)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit92,0.05,1210,0.1167,0.1167,0.1022,0.1022,3.1124,3.1124,0.0,0.0,1.0,0.1556,0.1556,0.3182,0.3182,2474.0,2474.0,385.0,385.0,0.1112,0.1112,579.0,454.0,692.0,0.88,no,((const=NP AND (NOT const=VP)) AND tag=NN),((const=NP AND (NOT const=VP)) AND tag=NN)
