arm,alpha,unit,density_run,n_fire_neuron,beam,beam_IoU,exact_IoU,beam_cov,exact_cov,same_mask,same_proxy,same_string,beam_peak,exact_peak,cap_bound,beam_visited,exact_visited,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
trained,0.1,unit92,0.1,2420,10,0.1557,0.1593,0.2089,0.1938,0,0,0,48,962,1,9,677,0.01,1.07,no,no,(dep=pobj OR dep=punct),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,25,0.1593,0.1593,0.1938,0.1938,1,1,0,67,962,1,23,677,0.02,1.07,no,no,((dep=punct AND lemma=.) OR dep=pobj),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,50,0.1583,0.1593,0.1851,0.1938,0,0,0,90,962,1,66,677,0.05,1.07,no,no,((const=NP AND dep=pobj) OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,100,0.1593,0.1593,0.1938,0.1938,1,1,0,140,962,1,112,677,0.1,1.07,no,no,((dep=punct AND lemma=.) OR dep=pobj),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,200,0.1591,0.1593,0.1905,0.1938,0,0,0,240,962,1,195,677,0.25,1.07,no,no,((const=PP AND dep=pobj) OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit396,0.09546,2310,5,0.0991,0.1453,0.8948,0.2468,0,0,0,45,1289,1,2,717,0.01,1.16,no,no,(const=NP OR const=VP),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,10,0.1214,0.1453,0.4381,0.2468,0,0,0,50,1289,1,4,717,0.01,1.16,no,no,((const=VP OR const=PP) AND const=NP),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,25,0.1245,0.1453,0.338,0.2468,0,0,0,74,1289,1,9,717,0.02,1.16,no,no,((const=PP OR dep=pobj) AND const=NP),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,50,0.1303,0.1453,0.5355,0.2468,0,0,0,104,1289,1,37,717,0.05,1.16,no,no,((const=NP AND (NOT lemma=a)) AND (NOT dep=punct)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,100,0.1334,0.1453,0.2813,0.2468,0,0,0,154,1289,1,90,717,0.12,1.16,no,no,((const=NP AND const=VP) AND (NOT lemma=a)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,200,0.1453,0.1453,0.2468,0.2468,1,1,1,254,1289,1,269,717,0.32,1.16,no,no,((const=PP AND (NOT tag=IN)) AND (NOT lemma=a)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit413,0.02612,632,5,0.0834,0.0952,0.0501,0.077,0,0,0,34,412,1,2,340,0.01,0.38,no,no,((const=NP AND tag=NN) AND dep=nsubj),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,632,10,0.0728,0.0952,0.1286,0.077,0,0,0,34,412,1,10,340,0.01,0.38,no,no,((tag=NN OR dep=nsubj) AND (NOT const=VP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,632,25,0.0752,0.0952,0.0855,0.077,0,0,0,58,412,1,16,340,0.02,0.38,no,no,((dep=ROOT OR dep=nsubj) AND const=NP),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,632,50,0.0952,0.0952,0.077,0.077,1,1,1,83,412,1,104,340,0.06,0.38,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,632,100,0.0952,0.0952,0.077,0.077,1,1,1,133,412,1,138,340,0.1,0.38,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit413,0.02612,632,200,0.0952,0.0952,0.077,0.077,1,1,1,230,412,1,251,340,0.23,0.38,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit510,0.09996,2419,5,-1.0,0.1575,,0.1649,0,0,0,55,1728,1,0,866,0.01,1.91,no,no,,((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,2419,10,0.1393,0.1575,0.1846,0.1649,0,0,0,60,1728,1,2,866,0.01,1.91,no,no,((dep=punct AND lemma=.) OR lemma=a),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,2419,25,0.1575,0.1575,0.1649,0.1649,1,1,1,75,1728,1,15,866,0.02,1.91,no,no,((const=PP AND tag=DT) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,2419,50,0.1575,0.1575,0.1649,0.1649,1,1,0,100,1728,1,33,866,0.05,1.91,no,no,((const=PP AND dep=det) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,2419,100,0.1575,0.1575,0.1649,0.1649,1,1,0,150,1728,1,63,866,0.1,1.91,no,no,((const=PP AND dep=det) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit510,0.09996,2419,200,0.1575,0.1575,0.1649,0.1649,1,1,1,247,1728,1,135,866,0.29,1.91,no,no,((const=PP AND tag=DT) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.05,unit86,0.03645,882,5,0.2048,0.2068,0.0511,0.0501,0,0,0,40,344,1,6,203,0.0,0.26,no,no,((tag=NN AND dep=nsubj) AND (NOT const=VP)),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,882,10,0.2048,0.2068,0.0511,0.0501,0,0,0,40,344,1,6,203,0.01,0.26,no,no,((tag=NN AND dep=nsubj) AND (NOT const=VP)),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,882,25,0.1771,0.2068,0.0855,0.0501,0,0,0,48,344,1,7,203,0.02,0.26,no,no,((dep=ROOT OR dep=nsubj) AND const=NP),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,882,50,0.2048,0.2068,0.0511,0.0501,0,0,0,77,344,1,85,203,0.06,0.26,no,no,((tag=NN AND (NOT const=VP)) AND dep=nsubj),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,882,100,0.2068,0.2068,0.0501,0.0501,1,1,1,127,344,1,127,203,0.1,0.26,no,no,((const=NP AND tag=NN) AND dep=nsubj),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit86,0.03645,882,200,0.2068,0.2068,0.0501,0.0501,1,1,1,227,344,1,131,203,0.18,0.26,no,no,((const=NP AND tag=NN) AND dep=nsubj),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit87,0.04996,1209,5,-1.0,0.0721,,0.1517,0,0,0,54,2441,1,0,1795,0.01,5.52,no,no,,((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,1209,10,-1.0,0.0721,,0.1517,0,0,0,59,2441,1,0,1795,0.01,5.52,no,no,,((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,1209,25,0.0594,0.0721,0.331,0.1517,0,0,0,74,2441,1,36,1795,0.03,5.52,no,no,(const=PP AND (NOT tag=DT)),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,1209,50,0.0646,0.0721,0.0842,0.1517,0,0,0,99,2441,1,39,1795,0.05,5.52,no,no,(dep=punct AND (NOT const=PP)),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,1209,100,0.0617,0.0721,0.0795,0.1517,0,0,0,149,2441,1,169,1795,0.17,5.52,no,no,((dep=punct AND (NOT const=NP)) OR lemma=.),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,1209,200,0.0721,0.0721,0.1517,0.1517,1,1,1,249,2441,1,263,1795,0.37,5.52,no,no,((dep=prep AND (NOT const=NP)) OR dep=punct),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit91,0.05,1210,5,0.0767,0.1095,0.2292,0.1527,0,0,0,37,635,1,2,556,0.01,0.85,no,no,((const=NP OR const=VP) AND tag=NN),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,1210,10,0.0782,0.1095,0.1955,0.1527,0,0,0,37,635,1,4,556,0.01,0.85,no,no,((const=PP AND dep=pobj) OR dep=nsubj),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,1210,25,0.1081,0.1095,0.0855,0.1527,0,0,0,61,635,1,8,556,0.03,0.85,no,no,((dep=ROOT OR dep=nsubj) AND const=NP),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,1210,50,0.099,0.1095,0.0674,0.1527,0,0,0,86,635,1,51,556,0.05,0.85,no,no,((const=NP AND (NOT const=PP)) AND dep=nsubj),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,1210,100,0.1095,0.1095,0.1527,0.1527,1,1,1,136,635,1,107,556,0.11,0.85,no,no,((const=NP AND dep=nsubj) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,1210,200,0.1095,0.1095,0.1527,0.1527,1,1,1,232,635,1,259,556,0.27,0.85,no,no,((const=NP AND dep=nsubj) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit395,0.04992,1208,5,-1.0,0.0954,,0.2495,0,0,0,40,819,1,0,585,0.01,1.0,no,no,,((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,1208,10,0.0347,0.0954,0.2456,0.2495,0,0,0,41,819,1,2,585,0.01,1.0,no,no,((tag=DT AND dep=det) OR dep=nsubj),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,1208,25,0.0713,0.0954,0.4392,0.2495,0,0,0,62,819,1,5,585,0.02,1.0,no,no,(NOT const=VP),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,1208,50,0.0876,0.0954,0.0932,0.2495,0,0,0,89,819,1,74,585,0.06,1.0,no,no,((dep=punct AND (NOT lemma=.)) OR dep=nsubj),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,1208,100,0.0888,0.0954,0.1345,0.2495,0,0,0,139,819,1,146,585,0.12,1.0,no,no,((tag=NN AND dep=nsubj) OR dep=ROOT),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,1208,200,0.0833,0.0954,0.0876,0.2495,0,0,0,240,819,1,225,585,0.29,1.0,no,no,((tag=NN AND dep=ROOT) OR dep=nsubj),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit412,0.04992,1208,5,-1.0,0.0981,,0.1037,0,0,0,40,730,1,0,575,0.01,0.8,no,no,,((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,1208,10,-1.0,0.0981,,0.1037,0,0,0,40,730,1,0,575,0.01,0.8,no,no,,((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,1208,25,0.06,0.0981,0.4392,0.1037,0,0,0,53,730,1,6,575,0.02,0.8,no,no,(NOT const=VP),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,1208,50,0.0664,0.0981,0.0583,0.1037,0,0,0,90,730,1,32,575,0.05,0.8,no,no,((const=NP AND (NOT tag=NN)) AND tag=IN),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,1208,100,0.0981,0.0981,0.1037,0.1037,1,1,1,140,730,1,86,575,0.1,0.8,no,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit412,0.04992,1208,200,0.0981,0.0981,0.1037,0.1037,1,1,1,231,730,1,261,575,0.3,0.8,no,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((tag=IN AND (NOT const=VP)) OR lemma=.)
untrained,0.2,unit88,0.19997,4839,5,0.2324,0.2388,0.6094,0.7832,0,0,0,56,1468,1,11,717,0.01,1.31,no,no,((const=VP OR const=PP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,4839,10,0.2324,0.2388,0.6094,0.7832,0,0,0,61,1468,1,18,717,0.01,1.31,no,no,((const=VP OR const=PP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,4839,25,0.1791,0.2388,0.6235,0.7832,0,0,0,76,1468,1,9,717,0.02,1.31,no,no,((lemma=. AND (NOT const=NP)) OR const=VP),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,4839,50,0.2115,0.2388,0.8289,0.7832,0,0,0,105,1468,1,44,717,0.05,1.31,no,no,((const=VP AND (NOT const=PP)) OR const=NP),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,4839,100,0.22,0.2388,0.8323,0.7832,0,0,0,155,1468,1,48,717,0.1,1.31,no,no,(NOT dep=det),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,4839,200,0.2388,0.2388,0.7832,0.7832,1,1,1,255,1468,1,123,717,0.22,1.31,no,no,((const=NP OR const=VP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit92,0.19993,4838,5,0.2121,0.28,0.8739,0.149,0,0,0,60,1047,1,9,291,0.01,0.47,no,no,(NOT tag=IN),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,4838,10,0.2174,0.28,0.1846,0.149,0,0,0,65,1047,1,8,291,0.01,0.47,no,no,((dep=punct AND lemma=.) OR lemma=a),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,4838,25,0.236,0.28,0.1998,0.149,0,0,0,80,1047,1,20,291,0.02,0.47,no,no,((const=NP AND synset=angstrom.n.01) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,4838,50,0.2607,0.28,0.1725,0.149,0,0,0,105,1047,1,54,291,0.05,0.47,no,no,((dep=det AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,4838,100,0.28,0.28,0.149,0.149,1,1,1,155,1047,1,115,291,0.12,0.47,no,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,4838,200,0.28,0.28,0.149,0.149,1,1,1,244,1047,1,188,291,0.24,0.47,no,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit396,0.20001,4840,5,0.1848,0.2518,0.2444,0.1391,0,0,0,48,1243,1,10,821,0.01,1.76,no,no,((tag=IN OR dep=prep) OR lemma=a),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,4840,10,0.2228,0.2518,0.2422,0.1391,0,0,0,65,1243,1,7,821,0.01,1.76,no,no,((tag=DT OR dep=det) OR lemma=.),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,4840,25,0.2215,0.2518,0.2408,0.1391,0,0,0,80,1243,1,6,821,0.02,1.76,no,no,((dep=det OR synset=angstrom.n.01) OR lemma=.),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,4840,50,0.2369,0.2518,0.5922,0.1391,0,0,0,105,1243,1,43,821,0.06,1.76,no,no,(NOT const=PP),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,4840,100,0.2392,0.2518,0.1846,0.1391,0,0,0,155,1243,1,94,821,0.14,1.76,no,no,((dep=punct AND lemma=.) OR lemma=a),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,4840,200,0.2392,0.2518,0.1846,0.1391,0,0,0,244,1243,1,191,821,0.3,1.76,no,no,((lemma=a OR synset=angstrom.n.01) OR lemma=.),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit510,0.20001,4840,5,0.2508,0.2713,0.2,0.3307,0,0,0,47,681,1,8,350,0.01,0.52,no,no,((const=VP AND tag=NN) OR lemma=.),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,4840,10,0.2389,0.2713,0.1662,0.3307,0,0,0,52,681,1,14,350,0.01,0.52,no,no,(dep=punct OR dep=nsubj),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,4840,25,0.2549,0.2713,0.166,0.3307,0,0,0,67,681,1,29,350,0.02,0.52,no,no,((tag=NN AND dep=pobj) OR lemma=.),((tag=NN OR dep=nsubj) OR lemma=.)
