arm,alpha,unit,density_run,n_fire_neuron,beam,beam_IoU,exact_IoU,beam_cov,exact_cov,same_mask,same_proxy,same_string,beam_peak,exact_peak,cap_bound,beam_visited,exact_visited,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
untrained,0.1,unit396,0.1,2420,10,0.096,0.1486,0.1935,0.1772,0,0,0,54,1155,1,10,519,0.01,0.99,no,no,((const=PP AND tag=IN) OR dep=nsubj),((tag=NN AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit396,0.1,2420,25,0.13,0.1486,0.151,0.1772,0,0,0,69,1155,1,32,519,0.02,0.99,no,no,((dep=punct AND lemma=.) OR dep=nsubj),((tag=NN AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit396,0.1,2420,50,0.1486,0.1486,0.1772,0.1772,1,1,1,94,1155,1,51,519,0.05,0.99,no,no,((tag=NN AND (NOT const=VP)) OR lemma=.),((tag=NN AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit396,0.1,2420,100,0.1486,0.1486,0.1772,0.1772,1,1,1,144,1155,1,98,519,0.12,0.99,no,no,((tag=NN AND (NOT const=VP)) OR lemma=.),((tag=NN AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit396,0.1,2420,200,0.1486,0.1486,0.1772,0.1772,1,1,1,243,1155,1,132,519,0.24,0.99,no,no,((tag=NN AND (NOT const=VP)) OR lemma=.),((tag=NN AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit413,0.09996,2419,5,-1.0,0.1444,,0.383,0,0,0,47,1647,1,0,817,0.01,1.6,no,no,,((const=VP AND (NOT tag=NN)) AND (NOT lemma=a))
untrained,0.1,unit413,0.09996,2419,10,0.091,0.1444,0.1328,0.383,0,0,0,52,1647,1,2,817,0.01,1.6,no,no,(tag=IN OR dep=prep),((const=VP AND (NOT tag=NN)) AND (NOT lemma=a))
untrained,0.1,unit413,0.09996,2419,25,0.0979,0.1444,0.2953,0.383,0,0,0,69,1647,1,2,817,0.02,1.6,no,no,((tag=DT OR dep=det) OR tag=IN),((const=VP AND (NOT tag=NN)) AND (NOT lemma=a))
untrained,0.1,unit413,0.09996,2419,50,0.1332,0.1444,0.2923,0.383,0,0,0,101,1647,1,48,817,0.05,1.6,no,no,((const=VP AND (NOT const=NP)) OR tag=IN),((const=VP AND (NOT tag=NN)) AND (NOT lemma=a))
untrained,0.1,unit413,0.09996,2419,100,0.1332,0.1444,0.2923,0.383,0,0,0,151,1647,1,90,817,0.11,1.6,no,no,((const=VP AND (NOT const=NP)) OR tag=IN),((const=VP AND (NOT tag=NN)) AND (NOT lemma=a))
untrained,0.1,unit413,0.09996,2419,200,0.1368,0.1444,0.5344,0.383,0,0,0,251,1647,1,154,817,0.25,1.6,no,no,((const=VP OR tag=DT) AND (NOT lemma=a)),((const=VP AND (NOT tag=NN)) AND (NOT lemma=a))
untrained,0.1,unit510,0.1,2420,5,0.1525,0.1544,0.1851,0.1036,0,0,0,40,936,1,4,579,0.01,0.88,no,no,((const=NP AND dep=pobj) OR lemma=.),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit510,0.1,2420,10,0.1494,0.1544,0.166,0.1036,0,0,0,42,936,1,11,579,0.01,0.88,no,no,((tag=NN AND dep=pobj) OR lemma=.),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit510,0.1,2420,25,0.152,0.1544,0.1938,0.1036,0,0,0,62,936,1,28,579,0.02,0.88,no,no,((dep=punct AND lemma=.) OR dep=pobj),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit510,0.1,2420,50,0.1534,0.1544,0.187,0.1036,0,0,0,92,936,1,66,579,0.05,0.88,no,no,((const=PP AND tag=NN) OR lemma=.),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit510,0.1,2420,100,0.1544,0.1544,0.1036,0.1036,1,1,1,142,936,1,91,579,0.12,0.88,no,no,((dep=pobj AND (NOT const=VP)) OR lemma=.),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit510,0.1,2420,200,0.1544,0.1544,0.1036,0.1036,1,1,1,242,936,1,142,579,0.25,0.88,no,no,((dep=pobj AND (NOT const=VP)) OR lemma=.),((dep=pobj AND (NOT const=VP)) OR lemma=.)
untrained,0.05,unit88,0.04992,1208,5,0.0631,0.0919,0.2238,0.2118,0,0,0,37,877,1,4,663,0.01,1.06,no,no,((const=NP OR const=PP) AND tag=NN),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit88,0.04992,1208,10,0.0763,0.0919,0.1541,0.2118,0,0,0,42,877,1,8,663,0.01,1.06,no,no,((const=VP OR const=PP) AND tag=NN),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit88,0.04992,1208,25,0.0763,0.0919,0.1541,0.2118,0,0,0,73,877,1,10,663,0.02,1.06,no,no,((const=VP OR const=PP) AND tag=NN),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit88,0.04992,1208,50,0.0762,0.0919,0.4402,0.2118,0,0,0,98,877,1,26,663,0.05,1.06,no,no,((const=NP AND (NOT dep=det)) AND (NOT tag=IN)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit88,0.04992,1208,100,0.0919,0.0919,0.2118,0.2118,1,1,1,148,877,1,140,663,0.12,1.06,no,no,((const=PP AND (NOT tag=DT)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit88,0.04992,1208,200,0.0919,0.0919,0.2118,0.2118,1,1,1,248,877,1,222,663,0.25,1.06,no,no,((const=PP AND (NOT tag=DT)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit92,0.05,1210,5,-1.0,0.1167,,0.1022,0,0,0,40,692,1,0,579,0.01,0.88,no,no,,((const=NP AND (NOT const=VP)) AND tag=NN)
untrained,0.05,unit92,0.05,1210,10,0.1099,0.1167,0.0514,0.1022,0,0,0,40,692,1,4,579,0.01,0.88,no,no,(tag=NN AND dep=nsubj),((const=NP AND (NOT const=VP)) AND tag=NN)
untrained,0.05,unit92,0.05,1210,25,0.1082,0.1167,0.1854,0.1022,0,0,0,55,692,1,11,579,0.02,0.88,no,no,((tag=NN OR dep=punct) AND (NOT const=VP)),((const=NP AND (NOT const=VP)) AND tag=NN)
untrained,0.05,unit92,0.05,1210,50,0.1167,0.1167,0.1022,0.1022,1,1,1,86,692,1,45,579,0.05,0.88,no,no,((const=NP AND (NOT const=VP)) AND tag=NN),((const=NP AND (NOT const=VP)) AND tag=NN)
untrained,0.05,unit92,0.05,1210,100,0.1167,0.1167,0.1022,0.1022,1,1,1,136,692,1,149,579,0.12,0.88,no,no,((const=NP AND (NOT const=VP)) AND tag=NN),((const=NP AND (NOT const=VP)) AND tag=NN)
untrained,0.05,unit92,0.05,1210,200,0.1167,0.1167,0.1022,0.1022,1,1,1,231,692,1,257,579,0.27,0.88,no,no,((const=NP AND (NOT const=VP)) AND tag=NN),((const=NP AND (NOT const=VP)) AND tag=NN)
untrained,0.05,unit396,0.04992,1208,5,-1.0,0.0755,,0.3017,0,0,0,50,1816,1,0,1162,0.01,3.11,no,no,,((const=VP AND (NOT const=NP)) OR lemma=.)
untrained,0.05,unit396,0.04992,1208,10,0.0683,0.0755,0.0735,0.3017,0,0,0,55,1816,1,8,1162,0.01,3.11,no,no,((const=PP AND dep=ROOT) OR lemma=.),((const=VP AND (NOT const=NP)) OR lemma=.)
untrained,0.05,unit396,0.04992,1208,25,-1.0,0.0755,,0.3017,0,0,0,70,1816,1,0,1162,0.02,3.11,no,no,,((const=VP AND (NOT const=NP)) OR lemma=.)
untrained,0.05,unit396,0.04992,1208,50,0.0752,0.0755,0.1037,0.3017,0,0,0,93,1816,1,60,1162,0.06,3.11,no,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((const=VP AND (NOT const=NP)) OR lemma=.)
untrained,0.05,unit396,0.04992,1208,100,0.0752,0.0755,0.1037,0.3017,0,0,0,143,1816,1,97,1162,0.12,3.11,no,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((const=VP AND (NOT const=NP)) OR lemma=.)
untrained,0.05,unit396,0.04992,1208,200,0.0752,0.0755,0.1037,0.3017,0,0,0,243,1816,1,295,1162,0.41,3.11,no,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((const=VP AND (NOT const=NP)) OR lemma=.)
untrained,0.05,unit413,0.05,1210,5,0.0624,0.1038,0.1598,0.1627,0,0,0,43,1463,1,8,631,0.01,1.25,no,no,((const=PP AND tag=DT) OR dep=ROOT),((const=VP AND (NOT const=NP)) AND (NOT const=PP))
untrained,0.05,unit413,0.05,1210,10,0.0792,0.1038,0.1948,0.1627,0,0,0,48,1463,1,12,631,0.01,1.25,no,no,((const=VP AND dep=ROOT) OR tag=IN),((const=VP AND (NOT const=NP)) AND (NOT const=PP))
untrained,0.05,unit413,0.05,1210,25,0.0581,0.1038,0.3053,0.1627,0,0,0,67,1463,1,2,631,0.02,1.25,no,no,((const=PP OR tag=IN) AND const=VP),((const=VP AND (NOT const=NP)) AND (NOT const=PP))
untrained,0.05,unit413,0.05,1210,50,0.0954,0.1038,0.0937,0.1627,0,0,0,98,1463,1,75,631,0.06,1.25,no,no,((tag=IN AND (NOT const=PP)) OR dep=ROOT),((const=VP AND (NOT const=NP)) AND (NOT const=PP))
untrained,0.05,unit413,0.05,1210,100,0.0954,0.1038,0.0937,0.1627,0,0,0,148,1463,1,146,631,0.14,1.25,no,no,((tag=IN AND (NOT const=PP)) OR dep=ROOT),((const=VP AND (NOT const=NP)) AND (NOT const=PP))
untrained,0.05,unit413,0.05,1210,200,0.0954,0.1038,0.0937,0.1627,0,0,0,248,1463,1,192,631,0.3,1.25,no,no,((tag=IN AND (NOT const=PP)) OR dep=ROOT),((const=VP AND (NOT const=NP)) AND (NOT const=PP))
untrained,0.05,unit510,0.04715,1141,5,-1.0,0.0734,,0.2074,0,0,0,46,1463,1,0,1178,0.01,2.5,no,no,,((tag=NN AND (NOT dep=nsubj)) OR dep=pobj)
untrained,0.05,unit510,0.04715,1141,10,-1.0,0.0734,,0.2074,0,0,0,51,1463,1,0,1178,0.01,2.5,no,no,,((tag=NN AND (NOT dep=nsubj)) OR dep=pobj)
untrained,0.05,unit510,0.04715,1141,25,-1.0,0.0734,,0.2074,0,0,0,67,1463,1,0,1178,0.02,2.5,no,no,,((tag=NN AND (NOT dep=nsubj)) OR dep=pobj)
untrained,0.05,unit510,0.04715,1141,50,0.0659,0.0734,0.2364,0.2074,0,0,0,93,1463,1,40,1178,0.06,2.5,no,no,((tag=NN AND (NOT const=PP)) OR dep=pobj),((tag=NN AND (NOT dep=nsubj)) OR dep=pobj)
untrained,0.05,unit510,0.04715,1141,100,0.0659,0.0734,0.128,0.2074,0,0,0,143,1463,1,116,1178,0.13,2.5,no,no,((tag=NN AND (NOT const=NP)) OR dep=pobj),((tag=NN AND (NOT dep=nsubj)) OR dep=pobj)
untrained,0.05,unit510,0.04715,1141,200,0.0712,0.0734,0.1749,0.2074,0,0,0,243,1463,1,296,1178,0.36,2.5,no,no,((const=VP AND tag=NN) OR dep=pobj),((tag=NN AND (NOT dep=nsubj)) OR dep=pobj)
